FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Cr1 Nb1 Ti1 Zr1,,18.30890198,,,,32.71418662,16.8549929,,,,,,,,,,,,32.1219185,,,,,,,,BCC+Sec.,OTHER,other,6.6,C,1000,115,,50,
Nb0.5 Ti0.5 V1 Zr0.5,,,,,,27.82608175,14.33654506,,,,,,30.51506375,,,,,,27.32230945,,,,,,,,BCC,OTHER,BCC,6.4,C,25,918,,50,105
Nb0.5 Ti0.5 V1 Zr0.5,,,,,,27.82608175,14.33654506,,,,,,30.51506375,,,,,,27.32230945,,,,,,,,BCC,OTHER,BCC,6.4,C,600,571,,50,105
Nb0.5 Ti0.5 V1 Zr0.5,,,,,,27.82608175,14.33654506,,,,,,30.51506375,,,,,,27.32230945,,,,,,,,BCC,OTHER,BCC,6.4,C,800,240,,50,105
Nb0.5 Ti0.5 V1 Zr0.5,,,,,,27.82608175,14.33654506,,,,,,30.51506375,,,,,,27.32230945,,,,,,,,BCC,OTHER,BCC,6.4,C,1000,72,,50,105
Nb1 Ti1 V1 Zr1,,,,,,32.836053,16.91778086,,,,,,18.00458756,,,,,,32.24157857,,,,,,,,BCC,OTHER,BCC,6.5,C,25,1105,,50,100
Nb1 Ti1 V1 Zr1,,,,,,32.836053,16.91778086,,,,,,18.00458756,,,,,,32.24157857,,,,,,,,BCC,OTHER,BCC,6.5,C,600,834,,50,100
Nb1 Ti1 V1 Zr1,,,,,,32.836053,16.91778086,,,,,,18.00458756,,,,,,32.24157857,,,,,,,,BCC,OTHER,BCC,6.5,C,800,187,,50,100
Nb1 Ti1 V1 Zr1,,,,,,32.836053,16.91778086,,,,,,18.00458756,,,,,,32.24157857,,,,,,,,BCC,OTHER,BCC,6.5,C,1000,58,,50,100
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,,,,,,25.16298004,12.96446263,,,12.99371372,,,,,,,,,24.70742138,24.17142223,,,,,,,BCC,CAST,BCC,7.9,C,25,1176,1538,,115
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,,,,,,25.08138776,12.92242469,,0.324255213,12.95158093,,,,,,,,,24.62730628,24.09304513,,,,,,,BCC+Sec.,CAST,other,7.8,C,25,1183,2139,38,
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,,,,,,24.91978039,12.83916139,,0.966497801,12.86812977,,,,,,,,,24.4686247,23.93780596,,,,,,,BCC+Sec.,CAST,other,7.7,C,25,1201,1965,33,
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,,,,,,15.09629563,7.777908672,,,3.897728796,,,,,,,,29.40223992,14.82298746,29.00283951,,,,,,,BCC,CAST,BCC,9.9,C,25,1112,,50,115
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,,,,,,14.5299573,7.486120017,,,7.503010588,,,,,,,,28.29921334,14.2669023,27.91479645,,,,,,,BCC,CAST,BCC,9.9,C,25,1317,,50,123
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,,,,,,14.00457493,7.215432678,,,10.84756877,,,,,,,,27.27595446,13.75103162,26.90543754,,,,,,,BCC,CAST,BCC,9.9,C,25,1373,,50,130
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,25,1512,1800,12,137
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,C,25,1015,,50,107
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,25,1512,,12,137
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,800,1007,,23,137
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,1000,814,,30,137
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,1200,556,,30,137
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,25,1600,1743,4,143
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,800,1045,1446,19,143
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,1000,855,,30,143
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,1200,404,,30,143
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,ANNEAL,BCC,8.7,C,25,1575,1640,9,128
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,ANNEAL,BCC,8.7,C,800,825,1095,50,128
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,ANNEAL,BCC,8.7,C,1000,635,654,50,128
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,ANNEAL,BCC,8.7,C,1200,187,194,50,128
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,CAST,BCC,8.7,C,25,1719,1803,10,128
Hf1 Nb1 Si0.5 Ti1 V1,,,,,,24.17868691,12.45733544,,,,3.654545573,,13.2576009,,,,,,,46.45183118,,,,,,,BCC+Sec.,CAST,other,7.8,C,800,875,,50,
Hf1 Nb1 Si0.5 Ti1 V1,,,,,,24.17868691,12.45733544,,,,3.654545573,,13.2576009,,,,,,,46.45183118,,,,,,,BCC+Sec.,CAST,other,7.8,C,1000,240,,50,
Hf1 Nb1 Si0.5 Ti1 V1,,,,,,24.17868691,12.45733544,,,,3.654545573,,13.2576009,,,,,,,46.45183118,,,,,,,BCC+Sec.,CAST,other,7.8,C,25,1399,1608,11,
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,,,,,,11.92921478,18.45695577,,,,,,,,,,,23.23388754,23.46166381,22.9182781,,,,,,,BCC,CAST,BCC,8.2,T,25,903,990,19,103
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,25,929,,50,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,400,790,,50,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,600,675,,50,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,800,535,,50,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,1000,295,,50,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,1200,92,,50,107
Hf1 Nb1 Ti1 Zr1,,,,,,22.63311627,11.66102702,,,,,,,,,,,,22.22335908,43.48249762,,,,,,,BCC,CAST,BCC,8.4,T,25,879,969,,89
Mo1 Nb1 Ta1 V1,,,,,,22.08125567,,,,22.80473255,,,12.10754232,,,,,43.00646946,,,,,,,,,BCC,ANNEAL,BCC,10.7,C,25,1525,2400,21,186
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,CAST,BCC,12.4,C,25,1246,1270,2,229
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,CAST,BCC,12.4,C,600,862,,13,229
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,CAST,BCC,12.4,C,800,846,,17,229
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,CAST,BCC,12.4,C,1000,842,,19,229
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,CAST,BCC,12.4,C,1200,735,,7.5,229
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,CAST,BCC,12.4,C,1400,656,,40,229
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,CAST,BCC,12.4,C,1600,477,,40,229
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,CAST,BCC,13.7,C,25,1058,1211,2,250
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,CAST,BCC,13.7,C,600,561,,40,250
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,CAST,BCC,13.7,C,800,552,,40,250
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,CAST,BCC,13.7,C,1000,548,,40,250
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,CAST,BCC,13.7,C,1200,506,,40,250
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,CAST,BCC,13.7,C,1400,421,,40,250
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,CAST,BCC,13.7,C,1600,405,,40,250
Mo0.3 Nb1 Ti1 V1 Zr1,,,,,,29.80392912,15.35557095,,,9.234130192,,,16.34202051,,,,,,29.26434923,,,,,,,,BCC,ANNEAL,BCC,6.7,C,25,1289,,,114
Mo0.5 Nb1 Ti1 V1 Zr1,,,,,,28.07557251,14.46508761,,,14.49772448,,,15.39433206,,,,,,27.56728334,,,,,,,,BCC,ANNEAL,BCC,6.8,C,25,1473,,,122
Mo0.7 Nb1 Ti1 V1 Zr1,,,,,,26.53668624,13.67222311,,,19.18429952,,,14.55053356,,,,,,26.05625757,,,,,,,,BCC,ANNEAL,BCC,6.9,C,25,1706,,,130
Mo1 Nb0.769 Ti0.769 V0.769 Zr0.769,,,,,,22.78719525,11.74041154,,,30.60312319,,,12.49462145,,,,,,22.37464856,,,,,,,,BCC,ANNEAL,BCC,7.3,C,25,1496,,,150
Mo1 Nb0.667 Ti0.667 V0.667 Zr0.667,,,,,,21.76844552,11.21553163,,,33.70565725,,,11.93602299,,,,,,21.37434261,,,,,,,,BCC,ANNEAL,BCC,7.4,C,25,1603,,,156
Mo1 Nb0.588 Ti0.588 V0.588 Zr0.588,,,,,,20.82537245,10.72964182,,,36.57772311,,,11.41891938,,,,,,20.44834324,,,,,,,,BCC,ANNEAL,BCC,7.5,C,25,1645,,,161
Mo1 Nb0.5 Ti0.5 V0.5 Zr0.5,,,,,,19.56578967,10.08067998,,,40.41369812,,,10.7282679,,,,,,19.21156434,,,,,,,,BCC,ANNEAL,BCC,7.6,C,25,1765,,,169
Mo1 Nb1 Ti1 V1 Zr1,,,,,,24.52063797,12.63351536,,,25.32403949,,,13.4450987,,,,,,24.07670848,,,,,,,,BCC,ANNEAL,BCC,7.1,C,25,1779,,,141
Mo1 Nb1 Ti1 V0.3 Zr1,,,,,,27.06817827,13.94605827,,,27.95504817,,,4.452588005,,,,,,26.57812729,,,,,,,,BCC,ANNEAL,BCC,7.2,C,25,1455,,,142
Mo0.1 Nb1 Ti1 V0.3 Zr1,,,,,,36.16784221,18.63438425,,,3.735285622,,,5.949439921,,,,,,35.513048,,,,,,,,BCC,ANNEAL,BCC,6.6,C,25,932,,,102
Mo0.3 Nb1 Ti1 V0.3 Zr1,,,,,,33.65371728,17.3390576,,,10.42690733,,,5.535878197,,,,,,33.0444396,,,,,,,,BCC,ANNEAL,BCC,6.8,C,25,1312,,,112
Mo0.5 Nb1 Ti1 V0.3 Zr1,,,,,,31.46640222,16.21210982,,,16.24868842,,,5.176075157,,,,,,30.89672439,,,,,,,,BCC,ANNEAL,BCC,6.9,C,25,1301,,,122
Mo0.7 Nb1 Ti1 V0.3 Zr1,,,,,,29.54606312,15.22271332,,,21.35988343,,,4.860188408,,,,,,29.01115173,,,,,,,,BCC,ANNEAL,BCC,7.1,C,25,1436,,,130
Mo1 Nb0.769 Ti0.769 V0.231 Zr0.769,,,,,,24.96990467,12.8649864,,,33.53449428,,,4.112773132,,,,,,24.51784151,,,,,,,,BCC,ANNEAL,BCC,7.4,C,25,1603,,,153
Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,,,,,,23.75352929,12.23828587,,,36.77930591,,,3.905391144,,,,,,23.32348779,,,,,,,,BCC,ANNEAL,BCC,7.5,C,25,1576,,,159
Nb1 Ti1 V0.3 Zr1,,,,,,37.57123515,19.35743992,,,,,,6.18029146,,,,,,36.89103347,,,,,,,,BCC,ANNEAL,BCC,6.5,C,25,866,,,96
Nb1 Ti1 V1 Zr1,,,,,,32.836053,16.91778086,,,,,,18.00458756,,,,,,32.24157857,,,,,,,,BCC,ANNEAL,BCC,6.5,C,25,1104,,,100
Mo1 Nb1 Ti1 V0.25 Zr1,,,,,,27.27055249,14.05032545,,,28.16405304,,,3.738231344,,,,,,26.77683767,,,,,,,,BCC,CAST,BCC,7.3,C,25,1776,3893,30,142
Mo1 Nb1 Ti1 V0.5 Zr1,,,,,,26.28785178,13.5440187,,,27.14915483,,,7.207046613,,,,,,25.81192809,,,,,,,,BCC,CAST,BCC,7.2,C,25,1647,3307,28,142
Mo1 Nb1 Ti1 V0.75 Zr1,,,,,,25.37351138,13.07293253,,,26.20485671,,,10.43455818,,,,,,24.9141412,,,,,,,,BCC,CAST,BCC,7.2,C,25,1708,3929,29,141
Mo1 Nb1 Ti1 V1 Zr1,,,,,,24.52063797,12.63351536,,,25.32403949,,,13.4450987,,,,,,24.07670848,,,,,,,,BCC,CAST,BCC,7.1,C,25,1786,3828,26,141
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,,,,,,22.97823098,11.83883691,,,23.73109662,,,18.88960976,,,,,,22.56222572,,,,,,,,BCC,CAST,BCC,7.1,C,25,1735,3300,20,140
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,,,,,,21.61454153,11.13623727,,,22.32272684,,,23.70326942,,,,,,21.22322494,,,,,,,,BCC,CAST,BCC,7,C,25,1538,3176,23,139
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,,,,,,19.31814958,9.953090931,,,19.95109522,,,31.80925666,,,,,,18.96840761,,,,,,,,BCC,CAST,BCC,6.9,C,25,1418,2508,24,138
Mo1 Nb1 Ti1 Zr1,,,,,,28.32957765,14.59595605,,,29.25777641,,,,,,,,,27.81668989,,,,,,,,BCC,CAST,BCC,7.3,C,25,1592,3450,34,143
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,13.20974531,11.65482695,12.51757465,13.15594966,12.31427193,,10.72931768,0.755996954,,,,14.24374247,11.4185744,,,,,,,,,,,,,,FCC+BCC,CAST,other,7.2,C,25,1862,2431,1,
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,13.11062935,11.56737793,12.42365221,13.05723734,12.22187493,,10.64881297,1.500649047,,,,14.13686818,11.33289804,,,,,,,,,,,,,,BCC,CAST,BCC,7.1,C,25,1465,2016,2,174
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,12.79047324,11.28490738,12.1202718,12.73838504,11.92342183,,10.38877339,3.905962196,,,,13.79165174,11.05615339,,,,,,,,,,,,,,BCC+Sec.,CAST,other,6.8,C,25,1461,1461,1,
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,13.31037131,11.74360828,12.612928,13.25616587,12.40807661,,10.81104888,,,,,14.35224501,11.50555606,,,,,,,,,,,,,,FCC+BCC+Sec.,CAST,other,7.3,C,25,1312,1312,1,
Cu1 Mn1 Ni1 Zn0.333,,,,29.50159876,27.61417601,,,,,,,31.94092301,,,,,10.94330222,,,,,,,,,,FCC,CAST,FCC,8.3,C,25,215,,60,167
Cu1 Mn1 Ni1 Zn0.25,,,,30.3288515,28.38850363,,,,,,,32.83657672,,,,,8.446068147,,,,,,,,,,FCC,CAST,FCC,8.3,C,25,140,,65,169
Al0.111 Cu1 Mn1 Ni1,,,,32.57609359,30.491974,,,1.66230156,,,,35.26963085,,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.1,C,25,515,,40,
Cu1 Mn1 Ni1 Sn0.111,,,,33.12676025,31.00741067,,,,,,,35.86582909,,0,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.3,C,25,630,,20,
Al0.053 Cu1 Mn1 Ni1,,,,32.86152552,30.75914485,,,0.800666061,,,,35.57866357,,,,,,,,,,,,,,,FCC,CAST,FCC,8.3,C,25,330,,45,173
Cu1 Mn1 Ni1 Sn0.053,,,,33.12676025,31.00741067,,,,,,,35.86582909,,0,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.4,C,25,380,,63,
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.6,C,400,1080,1100,2,170
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.6,C,600,1060,1170,3,170
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.6,C,800,860,1000,2,170
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.6,C,1000,594,630,15,170
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,CAST,BCC,6.6,C,1200,105,116,24,170
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.6,C,600,930,,,170
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.6,C,800,875,,,170
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.6,C,1000,550,,,170
Al1 Cr1 Mo1 Nb1 Ti1,,16.47001435,,,,29.42847821,15.16213126,8.546694499,,30.39268168,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.6,C,1200,150,,,170
Al1 Cr1 Mo1 Ti1,,23.33804619,,,,,21.484773,12.11068471,,43.06649611,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6,C,400,1070,,,189
Al1 Cr1 Mo1 Ti1,,23.33804619,,,,,21.484773,12.11068471,,43.06649611,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6,C,600,1020,,,189
Al1 Cr1 Mo1 Ti1,,23.33804619,,,,,21.484773,12.11068471,,43.06649611,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6,C,800,875,,,189
Al1 Cr1 Mo1 Ti1,,23.33804619,,,,,21.484773,12.11068471,,43.06649611,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6,C,1000,375,,,189
Al1 Cr1 Mo1 Ti1,,23.33804619,,,,,21.484773,12.11068471,,43.06649611,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6,C,1200,100,,,189
Al1 Mo1 Nb1 Ti1,,,,,,35.23103468,18.15172257,10.23188791,,36.38535485,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.5,C,600,520,,,151
Al1 Mo1 Nb1 Ti1,,,,,,35.23103468,18.15172257,10.23188791,,36.38535485,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.5,C,800,500,,,151
Al1 Mo1 Nb1 Ti1,,,,,,35.23103468,18.15172257,10.23188791,,36.38535485,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.5,C,1000,540,,,151
Al1 Mo1 Nb1 Ti1,,,,,,35.23103468,18.15172257,10.23188791,,36.38535485,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.5,C,1200,200,,,151
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,B2,ANNEAL,other,5.5,C,600,780,1005,,
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,B2,ANNEAL,other,5.5,C,800,560,700,,
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,B2,ANNEAL,other,5.5,C,25,1000,1280,,
Al1 Nb1 Ti1 V1 Zr1,,,,,,29.9773168,15.4449037,8.706089616,,,,,16.43709203,,,,,,29.43459785,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.8,C,600,1155,1385,,
Al1 Nb1 Ti1 V1 Zr1,,,,,,29.9773168,15.4449037,8.706089616,,,,,16.43709203,,,,,,29.43459785,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.8,C,800,550,600,,
Al1 Nb1 Ti1 V1 Zr1,,,,,,29.9773168,15.4449037,8.706089616,,,,,16.43709203,,,,,,29.43459785,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.8,C,25,1500,1675,,
Al1 Nb1 Ti1 V1 Zr0.1,,,,,,40.7805481,21.01094112,11.8435919,,,,,22.36069448,,,,,,4.004224399,,,,,,,,B2+Sec.,ANNEAL,other,5.5,C,600,975,1085,,
Al1 Nb1 Ti1 V1 Zr0.1,,,,,,40.7805481,21.01094112,11.8435919,,,,,22.36069448,,,,,,4.004224399,,,,,,,,B2+Sec.,ANNEAL,other,5.5,C,800,865,920,,
Al1 Nb1 Ti1 V1 Zr0.1,,,,,,40.7805481,21.01094112,11.8435919,,,,,22.36069448,,,,,,4.004224399,,,,,,,,B2+Sec.,ANNEAL,other,5.5,C,25,1290,1395,,
Al1 Nb1 Ti1 V1 Zr0.25,,,,,,38.46991549,19.82045772,11.17253202,,,,,21.09373383,,,,,,9.443360952,,,,,,,,B2+Sec.,ANNEAL,other,5.6,C,600,1065,1260,,
Al1 Nb1 Ti1 V1 Zr0.25,,,,,,38.46991549,19.82045772,11.17253202,,,,,21.09373383,,,,,,9.443360952,,,,,,,,B2+Sec.,ANNEAL,other,5.6,C,800,855,865,,
Al1 Nb1 Ti1 V1 Zr0.25,,,,,,38.46991549,19.82045772,11.17253202,,,,,21.09373383,,,,,,9.443360952,,,,,,,,B2+Sec.,ANNEAL,other,5.6,C,25,1360,1480,,
Al1 Nb1 Ti1 V1 Zr0.5,,,,,,35.15052458,18.11024218,10.20850595,,,,,19.27365319,,,,,,17.25707411,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.6,C,600,1135,1425,,
Al1 Nb1 Ti1 V1 Zr0.5,,,,,,35.15052458,18.11024218,10.20850595,,,,,19.27365319,,,,,,17.25707411,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.6,C,800,675,740,,
Al1 Nb1 Ti1 V1 Zr0.5,,,,,,35.15052458,18.11024218,10.20850595,,,,,19.27365319,,,,,,17.25707411,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.6,C,25,1485,,,
Al0.667 Nb0.667 Ti0.667 V0.667 Zr1,,,,,,26.13649735,13.46603792,7.590628932,,,,,14.33110292,,,,,,38.47573288,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.8,C,600,1195,1195,,
Al0.667 Nb0.667 Ti0.667 V0.667 Zr1,,,,,,26.13649735,13.46603792,7.590628932,,,,,14.33110292,,,,,,38.47573288,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.8,C,800,180,395,,
Al0.667 Nb0.667 Ti0.667 V0.667 Zr1,,,,,,26.13649735,13.46603792,7.590628932,,,,,14.33110292,,,,,,38.47573288,,,,,,,,B2+Laves+Sec.,ANNEAL,other,5.8,C,25,1535,1550,,
Co1 Cr1 Mo1 Nb1,19.65842187,17.34443017,,,,30.9908768,,,,32.00627116,,,,,,,,,,,,,,,,,BCC+Laves,CAST,other,8.8,C,25,,1419.6,,
Co1 Cr1 Mo1 Nb1 Ti1,16.95172184,14.95633565,,,,26.72385029,13.76865371,,,27.59943852,,,,,,,,,,,,,,,,,BCC+Laves,CAST,other,7.8,C,25,,1096.8,,
Co1 Cr1 Mo1 Nb1 Ti0.2,19.05007267,16.80768972,,,,30.03183363,3.094598369,,,31.01580562,,,,,,,,,,,,,,,,,BCC+Laves,CAST,other,8.5,C,25,,1905.6,,
Co1 Cr1 Mo1 Nb1 Ti0.4,18.47824519,16.30317203,,,,29.1303658,6.00341515,,,30.08480183,,,,,,,,,,,,,,,,,BCC,CAST,BCC,8.3,C,25,,1771.3,,212
